# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS02095	18490	18988	18972	465	464	582
gene-A1F92_RS02100	187	213	260	620	475	587
gene-A1F92_RS02105	338	281	335	76	46	64
gene-A1F92_RS02110	766	813	794	108	96	95
gene-A1F92_RS02115	543	561	571	89	68	77
gene-A1F92_RS02120	1187	1211	1128	355	263	280
gene-A1F92_RS02125	2651	2952	3017	299	219	283
gene-A1F92_RS02130	14371	14848	14325	306	316	404
gene-A1F92_RS02145	567	591	610	25	13	24
gene-A1F92_RS02150	1542	1712	1740	127	129	160
gene-A1F92_RS02155	2143	2064	1983	85	51	95
gene-A1F92_RS02160	421	472	502	32	31	37
gene-A1F92_RS02165	11	5	20	5	2	5
gene-A1F92_RS02170	46	46	73	13	18	12
gene-A1F92_RS02175	45	45	40	23	13	18
gene-A1F92_RS02180	38	42	40	87	75	73
gene-A1F92_RS02185	11	10	14	6	10	11
gene-A1F92_RS02190	12	25	25	5	8	8
gene-A1F92_RS02195	27	35	39	15	8	15
gene-A1F92_RS02200	19	18	20	15	7	13
gene-A1F92_RS02205	48	70	55	30	36	43
gene-A1F92_RS02210	50	56	41	55	30	33
gene-A1F92_RS02215	1208	1276	1184	411	382	455
gene-A1F92_RS02220	170	197	201	14	10	18
gene-A1F92_RS02225	101	114	110	6	8	3
gene-A1F92_RS02235	204	200	182	176	144	133
gene-A1F92_RS02240	685	802	774	65	33	71
gene-A1F92_RS02245	5730	6671	7406	21001	20701	21962
gene-A1F92_RS02250	271	267	303	21	14	24
gene-A1F92_RS02255	2408	2714	2823	327	253	327
gene-A1F92_RS02260	1658	1823	1864	178	166	199
gene-A1F92_RS02265	313	375	391	46	39	54
gene-A1F92_RS02270	1489	1537	1444	216	196	214
gene-A1F92_RS02275	4381	4263	4364	590	587	614
gene-A1F92_RS02280	1497	1599	1604	319	255	269
gene-A1F92_RS02285	1098	1143	1137	172	128	132
gene-A1F92_RS02290	19413	20927	21683	4191	3566	4153
gene-A1F92_RS02295	627	736	801	254	220	227
gene-A1F92_RS02300	595	704	687	198	136	160
gene-A1F92_RS02305	6042	6454	6474	1101	835	1022
rna-A1F92_RS02310	0	1	3	1	0	0
rna-A1F92_RS02315	5	1	1	0	0	0
rna-A1F92_RS02320	3	6	5	0	0	0
rna-A1F92_RS02325	0	2	2	334	4	0
rna-A1F92_RS02330	0	0	0	0	0	72
rna-A1F92_RS02335	0	0	0	0	0	0
rna-A1F92_RS02340	22	36	37	0	3	1
gene-A1F92_RS02345	3295	3504	3572	58	73	98
gene-A1F92_RS02350	333	378	391	41	25	59
rna-A1F92_RS02355	4	1	1	51	0	1
rna-A1F92_RS02360	516	718	721	12	3	3
gene-A1F92_RS02365	345	344	331	109	78	88
gene-A1F92_RS16205	247	272	251	203	172	168
gene-A1F92_RS02375	250	281	304	262	257	204
gene-A1F92_RS02380	868	965	967	762	727	689
gene-A1F92_RS02385	92	110	99	18	11	18
gene-A1F92_RS02390	1524	1574	1554	37	43	66
gene-A1F92_RS02395	592	637	681	452	305	344
gene-A1F92_RS02400	1835	1916	1927	1442	1087	1160
gene-A1F92_RS02405	1750	1936	2019	1522	1330	1430
gene-A1F92_RS02410	813	946	929	147	126	133
gene-A1F92_RS02415	1821	1893	1833	75	40	72
gene-A1F92_RS02420	2257	2456	2383	317	278	314
gene-A1F92_RS02425	3672	4256	4201	211	209	298
gene-A1F92_RS02430	2276	2326	2131	111	92	123
gene-A1F92_RS02435	773	872	813	145	106	142
gene-A1F92_RS02440	132	129	150	16	11	15
gene-A1F92_RS02445	977	1062	1028	129	98	144
gene-A1F92_RS02450	926	1134	1053	64	56	85
rna-A1F92_RS02455	1	0	1	0	0	0
gene-A1F92_RS15965	13	12	11	6	3	0
gene-A1F92_RS02460	9	15	17	12	6	2
gene-A1F92_RS02465	457	435	476	202	170	139
gene-A1F92_RS02470	86	92	68	0	2	2
gene-A1F92_RS02475	18	18	15	1	1	2
gene-A1F92_RS02480	61	52	60	13	15	13
gene-A1F92_RS02485	9310	9260	8808	2789	3023	3171
gene-A1F92_RS02490	4540	4419	4093	2522	2608	2434
gene-A1F92_RS02495	4969	4501	4274	5994	17575	5506
gene-A1F92_RS02500	903	949	907	1573	1329	1426
gene-A1F92_RS02505	1311	1472	1526	1475	1003	1154
gene-A1F92_RS02510	429	442	436	246	167	196
gene-A1F92_RS02515	615	673	651	330	211	245
